"WEEKEND","NL63","OC43","E229","HKU1","ILI","NL63_ILI","OC43_ILI","E229_ILI","HKU1_ILI","WEEKINDEX"
2016-01-23,0.0496422182468694,0.026386404293381,0.00253428741800835,0.0441264162194395,0.0211829,0.00105156614490161,0.000558940563506261,5.3683556946929e-05,0.000934725462134765,82
2016-01-30,0.0541359325605901,0.0233140147523709,0.00316122233930453,0.0487355110642782,0.0225112,0.00121866480505796,0.000524826448893572,7.11629083245522e-05,0.00109709483667018,83
2016-02-06,0.0398184176394293,0.0259403372243839,0.00285343709468223,0.0476005188067445,0.0237116,0.000944158391699092,0.000615086900129702,6.76595590142672e-05,0.001128684461738,84
2016-02-13,0.0404003859141341,0.0247226242161119,0.00434153400868307,0.049324650265316,0.0280035,0.00113135220694645,0.00069232000723589,0.000121578147612156,0.00138126284370478,85
2016-02-20,0.0340909090909091,0.02375,0.00375,0.0393181818181818,0.0316475,0.00107889204545455,0.000751628125,0.000118678125,0.00124432215909091,86
2016-02-27,0.0298056155507559,0.0254859611231102,0.00399568034557235,0.03207343412527,0.0315183,0.000939422332613391,0.000803274168466523,0.000125937051835853,0.0010109001187905,87
2016-03-05,0.0230679281386202,0.0242372701179972,0.00425215265228022,0.0247687891995323,0.033321,0.000768646433506963,0.000807610077601786,0.000141685978526629,0.000825320824917615,88
2016-03-12,0.0174282678002125,0.0229543039319872,0.00488841657810839,0.0197662061636557,0.0356024,0.000620488161530287,0.000817228310308183,0.000174039362380446,0.000703724378320935,89
2016-03-19,0.014246272777471,0.0196576477084484,0.00331308669243512,0.0133627829928216,0.0305479,0.000435193716178907,0.00060049985643291,0.000101207840971839,0.000408204958586416,90
2016-03-26,0.0110935023771791,0.0182859929294161,0.00475435816164818,0.0108496891381202,0.0276732,0.000306992709984152,0.000506031939534317,0.000131568304278922,0.000300245617457028,91
2016-04-02,0.00897035881435257,0.0189807592303692,0.00403016120644826,0.00754030161206448,0.0244161,0.000219021177847114,0.000463436115444618,9.84008190327613e-05,0.000184104758190328,92
2016-04-09,0.00712800712800713,0.0201960201960202,0.00386100386100386,0.00549450549450549,0.0203348,0.000144946599346599,0.000410682031482031,7.85127413127413e-05,0.00011172967032967,93
2016-04-16,0.00701326421710627,0.0153986888245159,0.00396401890532093,0.00564110382680287,0.0198593,0.000139278518066778,0.000305807180972709,7.872264064644e-05,0.000112028373227626,94
2016-04-23,0.00459515132308667,0.0172714308350499,0.00396133734748851,0.00301061638409127,0.0191514,8.80035810489621e-05,0.000330772080494375,7.58651560766915e-05,5.76575186182855e-05,95
2016-04-30,0.00358239508700102,0.0172296144660525,0.00409416581371546,0.00341180484476288,0.0169968,6.0889252814739e-05,0.000292848311156602,6.95877175025589e-05,5.79897645854657e-05,96
2016-05-07,0.00224382946896036,0.0158937920718025,0.00280478683620045,0.00336574420344054,0.0157635,3.53706058339566e-05,0.000250541791323859,4.42132572924458e-05,5.30559087509349e-05,97
2016-05-14,0.00305693542223921,0.0149025601834161,0.00305693542223921,0.00248376003056935,0.013935,4.25983951089033e-05,0.000207667176155904,4.25983951089033e-05,3.46111960259839e-05,98
2016-05-21,0.00181195892893094,0.01489832897121,0.00161063015904973,0.00181195892893094,0.0129941,2.35447755184216e-05,0.0001935903764848,2.09286893497081e-05,2.35447755184216e-05,99
2016-05-28,0.00179937022042285,0.0137201979307242,0.00179937022042285,0.00134952766531714,0.0118379,2.13007647323437e-05,0.000162418331084121,2.13007647323437e-05,1.59755735492578e-05,100
2016-06-04,0.00217627856365615,0.0137830975698223,0.00290170475154153,0.00108813928182807,0.0113723,2.47492927094668e-05,0.00015674552049329,3.29990569459558e-05,1.23746463547334e-05,101
2016-06-11,0.00103492884864166,0.0134540750323415,0.00103492884864166,0.000776196636481242,0.0104118,1.07754721862872e-05,0.000140081138421734,1.07754721862872e-05,8.08160413971539e-06,102
2016-06-18,0.00193423597678917,0.0107764575849682,0.000828958275766786,0.000828958275766786,0.00971814,1.87971760154739e-05,0.000104727123514783,8.05593257806024e-06,8.05593257806024e-06,103
